5,4,5,5,4,5,5,4,5,5,4,5,5,5,8
4,5,4,5,5,4,3,4,5,5,4,4,4,4,9
4,3,5,4,2,4,5,4,3,4,5,3,4,5,8
4,2,4,4,3,4,3,4,3,4,3,4,4,4,8
4,3,4,4,5,4,3,4,4,4,4,3,4,3,7
3,5,5,5,3,3,5,5,5,4,5,5,3,5,8
5,5,5,4,5,5,4,5,5,5,3,5,5,4,9
5,5,5,5,5,3,5,4,5,2,5,5,2,5,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
5,5,5,5,4,5,5,4,5,4,4,5,4,4,10
4,4,4,5,5,5,4,4,4,3,4,4,3,4,6
5,5,5,5,5,5,5,4,5,4,5,5,5,5,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
5,4,5,4,5,4,3,5,5,3,5,5,3,5,9
4,3,4,5,4,3,5,5,5,2,5,4,1,5,7
5,4,5,5,5,4,5,5,5,4,5,5,5,5,10
4,4,4,5,5,3,3,4,4,4,5,5,4,5,8
5,5,5,5,5,5,4,4,5,5,4,5,5,4,9
5,4,5,5,5,4,5,5,4,4,4,4,4,5,7
4,4,4,4,4,2,3,5,5,3,5,4,4,5,6
5,4,5,3,3,4,5,2,4,4,5,4,4,5,8
3,2,4,5,5,2,5,3,5,4,4,5,3,5,9
5,5,4,5,5,5,5,4,5,5,5,4,5,5,10
